EBOOK	TITLE	AUTHOR	MISC
394	Cranford	by Elizabeth Cleghorn Gaskell
395	The Holy War made by Shaddai upon Diabolus	by John Bunyan
396	The Lady, or the Tiger?	by Frank R. Stockton
397	L'Allegro, Il Penseroso, Comus, and Lycidas	by John Milton
398	First Book of Adam and Eve	by Rutherford Platt
399	Cast Upon the Breakers	by Horatio Alger
400	Helen of Troy and Other Poems	by Sara Teasdale
401	Blix	by Frank Norris
402	Penrod	by Booth Tarkington
403	Soldiers of Fortune	by Richard Harding Davis
404	Industrial Biography	by Samuel Smiles	[Subtitle: Iron Workers and Tool Makers]
405	Adventures and Letters	by Richard Harding Davis
406	Appreciations of Richard Harding Davis	by Various
407	The Reporter Who Made Himself King	by Richard Harding Davis
408	The Souls of Black Folk	by W. E. B. Du Bois
409	Religious and Moral Poems	by Phillis Wheatley
410	'Hell fer Sartain' and Other Stories	by John Fox, Jr.
411	The King's Jackal	by Richard Harding Davis
412	Little Journeys to the Homes of Great Business Men: John Jacob Astor by Elbert Hubbard
413	Ballads	by Robert Louis Stevenson
414	The Pageant of Summer	by Richard Jefferies
415	The Bible in Spain	by George Borrow
416	Winesburg, Ohio	by Sherwood Anderson
417	The Hymns and Small Cathechism of Martin Luther
418	A Treatise on Good Works	by Dr. Martin Luther
419	The Magic of Oz	by L. Frank Baum
420	Dorothy and the Wizard in Oz	by L. Frank Baum
421	Kidnapped	by Robert Louis Stevenson
422	The Romany Rye	by George Borrow
423	Round the Red Lamp	by Arthur Conan Doyle	[Subtitle: Being Facts and Fancies of Medical Life]
424	General William Booth Enters Into Heaven & Other Poems	by Vachel Lindsay
425	Familiar Studies of Men and Books	by Robert Louis Stevenson
426	Tales and Fantasies	by Robert Louis Stevenson
427	The Great War Syndicate	by Frank Stockton
428	Frivolous Cupid	by Anthony Hope
429	The Magic Egg and Other Stories	by Frank Stockton
430	The Grain Of Dust	by David Graham Phillips	[Subtitle: A Novel]
431	The Fortune Hunter	by David Graham Phillips
432	The Ambassadors	by Henry James
433	The Conflict	by David Graham Phillips
434	The Circular Staircase	by Mary Roberts Rinehart
435	The Miracle Mongers, an Expose	by Harry Houdini
436	The Master Key	by L. Frank Baum	[Subtitle: An Electrical Fairy Tale]
437	Life of Lazarillo of Tormes, Parts 1 and 2	by Lazarillo of Tormes	[Subtitle: His Fortunes and Misfortunes as told by himself]
438	Underwoods	by Robert Louis Stevenson
439	The Vital Message	by Arthur Conan Doyle
440	Just David	by Eleanor H. Porter
441	New Poems	by Robert Louis Stevenson	[Subtitle: and Variant Readings]
442	Love Songs	by Sara Teasdale
443	The Love Affairs of a Bibliomaniac	by Eugene Field
444	The Philosophy of Misery	by P. J. Proudhon
445	The Crowd, Study of Popular Mind	by Gustave le Bon
446	A Book of Remarkable Criminals	by H. B. Irving
447	Maggie: A Girl of the Streets	by Stephen Crane
448	The Psychology of Revolution	by Gustave le Bon
449	Pathology of Lying, Etc. by William and Mary Healy
450	Susan Lenox: Her Fall and Rise	by David Graham Phillips
451	The Shadow Line	by Joseph Conrad	[Subtitle: A Confession]
452	Lavengro	by George Borrow	[Subtitle: The Scholar, The Gypsy, The Priest]
453	Emma McChesney & Co.	by Edna Ferber
454	The Breitmann Ballads	by Charles G. Leland
455	The University of Hard Knocks	by Ralph Parlette
